eV values,FWHM Values,Rmin,SPR Angle,nGr Values,Sensitivity,Abs Sensitivity,FOM
0.001,2.988,0.000313870432297614,46.548,1.21161216077468,0,0,0
1,3.23999999999999,0.0150272061543844,46.512,0.89116905429103,0.112344435787818,0.112344435787818,0.034674208576487
1.5,20.628,0.752360396619979,35.064,0.182093041581017,11.1547224193315,11.1547224193315,0.540756370919697
2,3.77999999999999,0.0806937184420204,46.44,0.727840897914178,0.223246001346589,0.223246001346589,0.0590597887160289
2.5,3.41999999999999,0.0314039291472216,46.476,1.02085774364518,0.377448664536632,0.377448664536632,0.110365106589659
3,3.312,0.0196110532455712,46.476,1.23803649838981,-2.72476082650337,2.72476082650337,0.822693486263095
3.5,3.276,0.0143191618386907,46.512,1.41834304691165,-0.174139436407921,0.174139436407921,0.0531561161196341
4,3.276,0.0114844193923604,46.512,1.57596921159086,-0.0988041810069532,0.0988041810069532,0.0301600064123789
4.5,3.23999999999999,0.0097600852916145,46.512,1.71788276968962,-0.0711082163690242,0.0711082163690242,0.02194698036081
5,3.23999999999999,0.00861440792485464,46.512,1.84809037600086,-0.0565612445780384,0.0565612445780384,0.017457174252481
5.5,3.23999999999999,0.00780578082284037,46.512,1.96913896241213,-0.0475230710282262,0.0475230710282262,0.0146676145148847
6,3.23999999999999,0.00720965359430176,46.512,2.08276447511117,-0.0413245759754662,0.0413245759754662,0.01275449875786
6.5,3.23999999999999,0.00675568426479283,46.512,2.19021246479146,-0.0367872356591707,0.0367872356591707,0.011354085079991
7,3.23999999999999,0.00640130149726917,46.512,2.29241252715948,-0.033308648960232,0.033308648960232,0.0102804472099482
7.5,3.23999999999999,0.00611930433406537,46.512,2.39008039678133,-0.0305481292580196,0.0305481292580196,0.0094284349561789
8,3.23999999999999,0.00589153591351621,46.512,2.48378122084947,-0.0282981257207159,0.0282981257207159,0.00873398941997405
8.5,3.23999999999999,0.00570543218499692,46.512,2.57397063005334,-0.0264247632409571,0.0264247632409571,0.00815579112375222
9,3.23999999999999,0.0055520330574368,46.512,2.66102243438552,-0.0248376878896522,0.0248376878896522,0.00766595305236181
9.5,3.23999999999999,0.00542478277966217,46.512,2.74524790721675,-0.0234736312605642,0.0234736312605642,0.00724494791992724
10,3.23999999999999,0.00531877786514859,46.512,2.82690958333782,-0.0222869172556946,0.0222869172556946,0.00687867816533785
