eV values,FWHM Values,Rmin,SPR Angle,nGr Values,Sensitivity,Abs Sensitivity,FOM
0.001,1.764,0.0954225154853626,49.464,1.09559199442543,0,0,0
1,1.08000000000001,0.0485487517858917,49.536,1.24490776289075,0.482199574365227,0.482199574365227,0.446481087375208
1.5,0.899999999999999,0.0473477492848452,48.924,0.821838180896322,1.972575260372,1.972575260372,2.19175028930223
2,0.719999999999999,0.0440920949027067,48.132,0.59046514096181,2.63696137092411,2.63696137092411,3.66244634850572
2.5,4.176,0.728394761695389,46.26,0.274084374694463,3.90014641744806,3.90014641744806,0.933943107626452
3,3.636,0.0803495063880132,58.68,0.422080548038843,-13.6835090917077,13.6835090917077,3.76334133435304
3.5,1.65600000000001,0.0585793521251846,52.344,0.648994092407064,-6.44875398425312,6.44875398425312,3.89417511126395
4,1.44,0.0551530223666067,51.336,0.811331994104821,-6.58552029089091,6.58552029089091,4.57327797978534
4.5,1.332,0.0539626302603096,50.904,0.944196037663447,-9.51148254417346,9.51148254417346,7.14075266079088
5,1.26,0.0535986226356562,50.688,1.05931694743154,-33.7422030137195,33.7422030137195,26.7795262013647
5.5,1.224,0.0530116230375123,50.508,1.16230118258734,15.6500180674662,15.6500180674662,12.7859624734201
6,1.224,0.0525817726222737,50.4,1.25632972476662,5.82315053231869,5.82315053231869,4.75747592509698
6.5,1.188,0.0519898530929381,50.328,1.34340652334933,3.48647839072145,3.48647839072145,2.9347461201359
7,1.15199999999999,0.0518756172613498,50.256,1.42488755426332,2.40513416090361,2.40513416090361,2.08779007022884
7.5,1.152,0.052128993205031,50.22,1.50173952896178,1.86139256234323,1.86139256234323,1.61579215481183
8,1.152,0.0520612046424458,50.148,1.57467972315202,1.4277134624551,1.4277134624551,1.23933460282561
8.5,1.116,0.0516510838100523,50.112,1.64425740672681,1.18104765759145,1.18104765759145,1.05828643153356
9,1.116,0.0516173948531896,50.076,1.71090409935771,0.994617195231916,0.994617195231916,0.891234045906735
9.5,1.08,0.0519654055209144,50.04,1.77496606621839,0.847839244850562,0.847839244850562,0.785036337824596
10,1.08,0.0516382398569964,50.04,1.83672615082052,0.77718722721091,0.77718722721091,0.719617802973066
