eV values,FWHM Values,Rmin,SPR Angle,nGr Values,Sensitivity,Abs Sensitivity,FOM
0.001,1.692,0.0705695245288784,49.5,1.14141320440218,0,0,0
1,1.044,0.048128798046082,49.5,1.2989399491161,0,0,0
1.5,0.900000000000006,0.0480618763581959,48.888,0.770890731907652,1.6517216779855,1.6517216779855,1.83524630887276
2,0.540000000000006,0.0395720924890032,47.448,0.431058517239153,2.88869776899081,2.88869776899081,5.34944031294589
2.5,3.06,0.0700016497180371,56.952,0.3950918929571,-9.98497548672559,9.98497548672559,3.26306388455084
3,1.44,0.0551878915992443,51.336,0.687524497824283,-4.04504446440752,4.04504446440752,2.80905865583854
3.5,1.26,0.0531844641444671,50.652,0.881187637562112,-4.42692858349316,4.42692858349316,3.51343538372474
4,1.188,0.0526691732596725,50.4,1.03577241723763,-8.51943670769995,8.51943670769995,7.17124301994944
4.5,1.152,0.0521420753602915,50.22,1.16806793201759,27.0120937039207,27.0120937039207,23.4479980068756
5,1.152,0.0520742918217335,50.148,1.28557010384062,4.49510222905918,4.49510222905918,3.90199846272498
5.5,1.152,0.0518604167948617,50.076,1.3923649117254,2.29526232813442,2.29526232813442,1.99241521539446
6,1.116,0.0509541873064328,50.004,1.49095790370835,1.44187567713206,1.44187567713206,1.2920032949212
6.5,1.08,0.0509616023425724,49.968,1.58301179967983,1.05978597985747,1.05978597985747,0.981283314682844
7,1.08000000000001,0.0509096437085916,49.932,1.66969478565273,0.817745716171616,0.817745716171616,0.757171959418159
7.5,1.08000000000001,0.0506405983861117,49.896,1.75186386901024,0.648701071124641,0.648701071124641,0.60064913993022
8,1.044,0.0505598519096069,49.86,1.83016946966826,0.522681270798939,0.522681270798939,0.50065255823653
8.5,1.044,0.0512804911973245,49.824,1.90511890025529,0.424247195954295,0.424247195954295,0.406367045933234
9,1.08,0.0505873581872326,49.824,1.97711685193134,0.387697242865867,0.387697242865867,0.358978928579507
9.5,1.044,0.0504779196658941,49.788,2.04649228437763,0.318204239134347,0.318204239134347,0.304793332504165
10,1.044,0.0508272472889485,49.788,2.11351690108034,0.296264689645916,0.296264689645916,0.283778438358158
