Incident Angle (deg),SPR Curve (1 meV),SPR Curve (1 eV),SPR Curve (1.5 eV),SPR Curve (2 eV),SPR Curve (2.5 eV),SPR Curve (3 eV),SPR Curve (3.5 eV),SPR Curve (4 eV),SPR Curve (4.5 eV),SPR Curve (5 eV),SPR Curve (5.5 eV),SPR Curve (6 eV),SPR Curve (6.5 eV),SPR Curve (7 eV),SPR Curve (7.5 eV),SPR Curve (8 eV),SPR Curve (8.5 eV),SPR Curve (9 eV),SPR Curve (9.5 eV),SPR Curve (10 eV)
0,0.917371084124777,0.917564050036914,0.918288740934936,0.918554917440499,0.918776267545028,0.918980070434035,0.919174604748296,0.919363388357584,0.919548203890046,0.919730061692627,0.919909581384602,0.920087166152525,0.920263090860733,0.920437550134985,0.920610686228688,0.920782605977851,0.920953391541444,0.921123107440363,0.921291805306759,0.921459527170335
0.000628444219561871,0.91737106159371,0.917564026947054,0.91828871758758,0.918554893641747,0.918776242423977,0.91898001369204,0.919174585935949,0.919363367809343,0.91954818282742,0.919730040400235,0.91990955997326,0.920087144676824,0.920263069351563,0.920437528611506,0.920610664703584,0.920782584459944,0.920953370037105,0.921123085954331,0.921291783842649,0.921459505730957
0.00125688843912374,0.917370994000443,0.917563957677406,0.91828864754544,0.918554822245411,0.918776167060731,0.918979843466432,0.9191745294989,0.919363306164583,0.919548119639497,0.919729976523008,0.919909495739179,0.920087080249669,0.920263004823999,0.92043746404101,0.920610600128216,0.920782519906166,0.920953305524028,0.921123021496178,0.921291719450262,0.921459441412768
0.00188533265868561,0.917370881344779,0.917563842227764,0.918288530808296,0.918554703251254,0.918776041455011,0.918979559758347,0.919174435437124,0.919363203423187,0.919548014326136,0.919729870060796,0.919909388682203,0.920086972870895,0.920262897277877,0.920437356423331,0.920610492502412,0.920782412316346,0.920953198002043,0.92112291406573,0.921291612129423,0.921459334215592
0.00251377687824748,0.917370723626393,0.917563680597789,0.918288367375779,0.918554536658879,0.918775865606351,0.918979162569681,0.919174303750585,0.919363059584967,0.919547866887105,0.919729721013345,0.919909238802069,0.920086822540232,0.920262746712917,0.920437205758188,0.920610341825893,0.9207822616902,0.920953047470863,0.921122763662701,0.921291461879844,0.92145918413914
0.00314222109780935,0.917370520844825,0.917563472787001,0.918288157247378,0.918554322467732,0.918775639514098,0.918978651903082,0.919174134439223,0.919362874649657,0.91954767732208,0.919729529380304,0.919909046098405,0.920086629257301,0.920262553128734,0.920437012045191,0.92061014809826,0.920782068027328,0.920952853930087,0.921122570286687,0.921291268701121,0.921458991183007
0.00377066531737123,0.917370272999488,0.917563218794788,0.918287900422433,0.918554060677099,0.918775363177414,0.918978027761962,0.919173927502971,0.919362648616916,0.919547445630641,0.919729295161217,0.919908810570738,0.920086393021614,0.920262316524834,0.920436775283834,0.920609911319007,0.920781831327218,0.9209526173792,0.921122333937171,0.921291032592734,0.921458755346671
0.0043991095369331,0.917369980089662,0.917562918620397,0.918287596900136,0.91855375128611,0.918775036595272,0.918977290150488,0.91917368294174,0.919362381486322,0.919547171812278,0.919729018355531,0.919908532218488,0.920086113832576,0.920262036900605,0.920436495473504,0.920609631487512,0.920781551589245,0.920952337817572,0.921122054613519,0.921290753554047,0.921458476629495
0.00502755375649497,0.917369642114496,0.917562572262942,0.918287246679534,0.918553394293733,0.918774659766462,0.918976439073587,0.919173400755428,0.919362073257385,0.919546855866385,0.919728698962588,0.91990821104097,0.92008579168948,0.920261714255334,0.920436172613473,0.920609308603038,0.920781228812668,0.920952015244458,0.921121732314983,0.92129043158431,0.921458155030726
0.00565599797605684,0.917369259073009,0.917562179721399,0.918286849759525,0.918552989698779,0.918774232689585,0.918975474536946,0.919173080943915,0.919361723929532,0.919546497792265,0.919728336981633,0.919907847037392,0.920085426591514,0.920261348588188,0.920435806702901,0.920608942664741,0.920780862996632,0.920951649658997,0.9211213670407,0.921290066682657,0.921457790549494
0.00628444219561871,0.91736883096409,0.917561740994607,0.918286406138866,0.918552537499903,0.918773755363057,0.918974396547014,0.919172723507069,0.919361333502118,0.91954609758913,0.919727932411807,0.919907440206859,0.920085018537758,0.920260939898232,0.920435397740836,0.920608533671657,0.920780454140169,0.920951241060218,0.921120958789692,0.921289658848104,0.921457383184815
0.00691288641518058,0.917368357786495,0.917561256081269,0.918285915816159,0.918552037695597,0.918773227785106,0.918973205110998,0.919172328444737,0.91936090197442,0.919545655256093,0.919727485252153,0.919906990548369,0.920084567527181,0.920260488184416,0.920434945726216,0.920608081622713,0.920780002242199,0.920950789447032,0.921120507560865,0.921289208079555,0.921456932935587
0.00754133063474245,0.91736783953885,0.917560724979953,0.918285378789867,0.918551490284197,0.918772649953775,0.91897190023687,0.919171895756756,0.91936042934564,0.919545170792181,0.919726995501611,0.919906498060814,0.920084073558645,0.920259993445579,0.920434450657866,0.920607586516724,0.920779507301524,0.920950294818235,0.92112001335301,0.921288714375795,0.921456439800594
0.00816977485430432,0.917367276219652,0.917560147689087,0.9182847950583,0.918550895263882,0.918772021866918,0.918970481933365,0.919171425442943,0.919359915614904,0.919544644196323,0.919726463159019,0.919905962742981,0.920083536630904,0.920259455680452,0.920433912534499,0.920607048352388,0.920778969316835,0.92094975717251,0.921119476164805,0.921288177735498,0.921455903778502
0.00879821907386619,0.917366667827263,0.917559524206966,0.918284164619626,0.918550252632668,0.918771343522207,0.918968950209983,0.919170917503101,0.919359360781261,0.919544075467357,0.919725888223118,0.919905384593552,0.920082956742603,0.920258874887655,0.920433331354715,0.920606467128294,0.920778388286708,0.920949176508425,0.921118895994809,0.921287598157218,0.921455324867865
