Incident Angle (deg),SPR Curve (1 meV),SPR Curve (1 eV),SPR Curve (1.5 eV),SPR Curve (2 eV),SPR Curve (2.5 eV),SPR Curve (3 eV),SPR Curve (3.5 eV),SPR Curve (4 eV),SPR Curve (4.5 eV),SPR Curve (5 eV),SPR Curve (5.5 eV),SPR Curve (6 eV),SPR Curve (6.5 eV),SPR Curve (7 eV),SPR Curve (7.5 eV),SPR Curve (8 eV),SPR Curve (8.5 eV),SPR Curve (9 eV),SPR Curve (9.5 eV),SPR Curve (10 eV)
0,0.801402054907052,0.805352505625299,0.805144790583873,0.804990233605406,0.80484936584984,0.8047144132614,0.804582603227933,0.804452670942892,0.804323950317624,0.804196055154888,0.80406874539054,0.80394186366903,0.803815302436028,0.803688985636721,0.803562857956209,0.803436878200085,0.803311015064235,0.803185244342699,0.803059547032996,0.802933908018161
0.000628444219561871,0.801401960658672,0.805352410601488,0.805144710675691,0.804990136894806,0.804849269515988,0.80471431701098,0.804582506989798,0.804452574688778,0.804323854033414,0.804195958832506,0.804068649024932,0.803941767256822,0.803815205974856,0.803688889124868,0.803562761392387,0.803436781583307,0.803310918393727,0.803185147617845,0.8030594502533,0.802933811183217
0.00125688843912374,0.801401677913075,0.805352125529586,0.805144470951193,0.804989846762538,0.804848980513962,0.804714028259251,0.804582218274921,0.804452285925968,0.804323565180315,0.804195669864892,0.804068359927639,0.803941478019727,0.80381491659087,0.803688599588836,0.803562471700449,0.803436491732498,0.803310628381729,0.803184857442812,0.80305915991374,0.802933520677913
0.00188533265868561,0.801401206668898,0.805351650408198,0.805144071410527,0.80498936320719,0.804848498842352,0.804713547004802,0.804581737081893,0.804451804653049,0.804323083756915,0.804195188250633,0.804067878097247,0.803940995956333,0.803814434282658,0.803688117027213,0.80356198887898,0.803436008646246,0.803310145026826,0.803184373816182,0.803058676012898,0.802933036500831
0.00251377687824748,0.801400546923869,0.805350985234995,0.805143512053938,0.804988686226416,0.804847824498807,0.804712873245282,0.804581063408361,0.80445113086767,0.804322409760862,0.804194513987376,0.804067203531402,0.803940321064283,0.803813759047861,0.803687441437641,0.803561312925624,0.80343533232219,0.80330946832666,0.803183696735595,0.803057998548414,0.802932358649609
0.00314222109780935,0.801399698674803,0.805350130006719,0.80514279288177,0.804987815816923,0.804846957480037,0.804712006977402,0.804580197251035,0.804450264566538,0.804321543188863,0.804193647071826,0.80406633622681,0.803939453340283,0.803812890883183,0.803686572816822,0.803560443837079,0.80343446275703,0.803308598277925,0.803182826197747,0.803057127516981,0.802931487120939
0.00377066531737123,0.801398661917611,0.805349084719177,0.805141913894464,0.804986751974486,0.804845897781809,0.804710948196928,0.804579138605683,0.804449205745421,0.804320484036682,0.804192587499748,0.804065276179232,0.803938392780091,0.803811829784383,0.803685511160512,0.803559381609101,0.80343339994652,0.803307534876376,0.803181762198389,0.803056062914349,0.80293042191057
0.0043991095369331,0.801397436647292,0.805347849367249,0.80514087509256,0.804985494693933,0.804844645398955,0.804709696898689,0.804577887467132,0.804447954399145,0.804319232299143,0.804191335265965,0.80406402338349,0.803937139378529,0.803810575746279,0.803684256463528,0.803558126236504,0.803432143885469,0.80330627811682,0.803180504732327,0.803054804735323,0.802929163013303
0.00502755375649497,0.801396022857934,0.80534642394488,0.805139676476699,0.804984043969158,0.804843200325359,0.804708253076574,0.804576443829268,0.804446510521594,0.804317787970133,0.804189890364356,0.804062577833462,0.803935693129472,0.803809128762743,0.80368280871974,0.803556677713157,0.803430694567747,0.803304827993124,0.803179053793424,0.803053352973762,0.802927710422997
0.00565599797605684,0.801394420542718,0.805344808445086,0.805138318047615,0.804982399793111,0.804841562553972,0.80470661672353,0.804574807685038,0.804444874105713,0.804316151042591,0.804188252787864,0.804060939522086,0.803934054025854,0.80380748882671,0.803681167922078,0.803555036031986,0.803429051986276,0.803303184498207,0.803177409374598,0.803051707622581,0.802926064132563
0.00628444219561871,0.801392629693915,0.805343002859951,0.805136799806144,0.804980562157802,0.804839732076799,0.804704787831562,0.804572979026447,0.804443045143505,0.804314321508519,0.804186422528484,0.804059108441358,0.80393222205967,0.803805655930167,0.803679334062529,0.803553201184975,0.803427216133036,0.803301347624046,0.803175571467823,0.803049868673751,0.802924224133968
0.00691288641518058,0.801390650302885,0.805341007180625,0.80513512175322,0.804978531054305,0.804837708884908,0.804702766391737,0.804570957844559,0.804441023626033,0.804312299358975,0.804184399577275,0.80405708458233,0.803930197221967,0.803803630064162,0.803677307132136,0.803551173163163,0.803425186999063,0.803299317361675,0.803173540064126,0.803047836118296,0.802922190418235
0.00754133063474245,0.80138848236008,0.805338821397328,0.805133283889875,0.804976306472748,0.804835492968424,0.804700552394181,0.804568744129497,0.804438809543416,0.804310084584079,0.80418218392435,0.804054867935113,0.803927979502855,0.803801411218797,0.803675087120998,0.803548951956647,0.80342296457445,0.803297093701179,0.803171315153593,0.803045609946298,0.802919962975437
0.00816977485430432,0.801386125855041,0.805336445499349,0.805131286217242,0.804973888402323,0.804833084316531,0.804698145828076,0.804566337870444,0.804436402884836,0.804307677173005,0.804179775558882,0.804052458488876,0.803925568891497,0.803798999383234,0.803672674018271,0.803546537554577,0.803420548848343,0.803294676631704,0.803168896725361,0.803043190146889,0.802917541794706
0.00879821907386619,0.801383580776399,0.805333879475044,0.80512912873655,0.804971276831279,0.804830482917473,0.804695546681666,0.80456373905564,0.804433803638528,0.804305077113989,0.804177174469102,0.804049856231846,0.803922965376114,0.80379639454569,0.803670067812169,0.803543929945163,0.803417939808948,0.803292066141448,0.803166284767626,0.80304057670826,0.802914926864227
0.00942666329342806,0.801380847111876,0.805331123311835,0.805126811449128,0.804968471746926,0.804827688758553,0.804692754942253,0.804560947672386,0.80443101179179,0.804302284394322,0.804174380642297,0.804047061151306,0.803920168943987,0.803793596693439,0.803667268489961,0.803541129115669,0.803415137443521,0.803289262217665,0.803163479267635,0.803037769617655,0.802912118171239
0.0100551075129899,0.801377924848281,0.805328176996215,0.805124334356405,0.804965473135631,0.804824701826131,0.804689770596197,0.804557963707038,0.804428027330977,0.804299299000356,0.804171394064814,0.804044073233597,0.803917179581452,0.803790605812812,0.803664276037972,0.803538135052414,0.80341214173838,0.803286264846663,0.803160480211694,0.803034768861371,0.802909115702032
0.0106835517325518,0.801374813971516,0.805325040513742,0.805121697459908,0.804962280982821,0.804821522105629,0.804686593628916,0.804554787145014,0.8044248502415,0.804296120917498,0.804168214722055,0.804040892464117,0.8039139972739,0.803787421889197,0.803661090441583,0.803534947740775,0.803408952678892,0.803283074013809,0.80315728758516,0.803031574424761,0.802905919441954
0.0113119959521137,0.801371514466569,0.805321713849041,0.805118900761264,0.804958895272984,0.804818149581521,0.804683224024888,0.804551417970787,0.80442148050783,0.804292750130214,0.804164842598481,0.804037518827321,0.803910622005782,0.803784044907035,0.803657711685233,0.803531567165183,0.803405570249483,0.803279689703519,0.803153901372444,0.803028186292231,0.802902529375406
0.0119404401716755,0.801368026317521,0.805318196985807,0.8051159442622,0.804955315989664,0.804814584237347,0.804679661767648,0.80454785616789,0.804417918113494,0.804289186622027,0.80416127767761,0.80403395230672,0.803907053760602,0.803780474849827,0.803654139752413,0.803527993309123,0.803401994433634,0.803276111899267,0.803150321557014,0.80302460444724,0.802898945485839
0.0125688843912374,0.801364349507539,0.805314489906799,0.805112827964544,0.804951543115462,0.804810826055699,0.804675906839788,0.804544101718912,0.80441416304108,0.804285430375517,0.804157519942017,0.804030192884884,0.803903292520923,0.803776711700128,0.803650374625673,0.803524226155138,0.803398225213878,0.80327234058358,0.803146548121392,0.803020828872302,0.80289516775576
0.0131973286107993,0.801360484018878,0.805310592593843,0.80510955187022,0.804947576632041,0.804806875018228,0.804671959222959,0.804540154605501,0.804410215272228,0.804281481372321,0.804153569373331,0.804026240543436,0.803899338268361,0.803772755439548,0.803646416286615,0.803520265684823,0.803394262571805,0.803268375738042,0.803142581047149,0.803016859548985,0.802891196166728
0.0138257728303612,0.801356429832885,0.805306505027833,0.805106115981256,0.80494341652012,0.804802731105644,0.804667818897868,0.804536014808361,0.80440607478764,0.804277339593133,0.80414942595224,0.804022095263056,0.803895190983591,0.803768606048754,0.803642264715898,0.80351611187883,0.803390106488058,0.803264217343286,0.803138420314915,0.803012696457907,0.802887030699356
0.014454217049923,0.801352186929993,0.805302227188728,0.80510252029978,0.804939062759476,0.804798394297713,0.804663485844282,0.804531682307253,0.80440174156707,0.804273005017703,0.804145089658488,0.804017757023482,0.803890850646341,0.803764263507466,0.803637919893237,0.803511764716865,0.803385756942333,0.803259865379001,0.80313406590437,0.803008339578742,0.802882671333307
0.0150826612694849,0.801347755289722,0.805297759055554,0.805098764828018,0.804934515328942,0.804793864573258,0.804658960041021,0.804527157080997,0.804397215589332,0.804268477624838,0.804140560470874,0.804013225803505,0.803886317235395,0.80375972779446,0.803633381797397,0.803507224177686,0.803381213913383,0.803255319823932,0.803129517794248,0.803003788890214,0.802878118047299
0.0157111054890468,0.801343134890684,0.805293100606401,0.8050948495683,0.804929774206411,0.80478914191016,0.804654241465965,0.804522439107466,0.804392496832295,0.8042637573924,0.804135838367254,0.804008501580972,0.803881590728592,0.803754998887567,0.803628650406201,0.803502490239106,0.803376477379011,0.803250580655872,0.803124775962336,0.802999044370103,0.8028733708191
0.0163395497086086,0.801338325710573,0.805288251818425,0.805090774523056,0.804924839368831,0.804784226285353,0.804649330096047,0.804517528363592,0.804387585272884,0.804258844297307,0.804130923324537,0.804003584332785,0.803876671102827,0.803750076763673,0.803623725696526,0.803497562877993,0.803371547316076,0.80324564785167,0.803119840385473,0.802994105995236,0.80286842962553
0.0169679939281705,0.801333327726174,0.805283212667848,0.805086539694815,0.804919710792206,0.804779117674831,0.80464422590726,0.804512424825361,0.804382480887081,0.804253738315532,0.804125815318688,0.803998474034901,0.803871558334046,0.803744961398716,0.8036186076443,0.803492442070266,0.803366423700487,0.803240521387228,0.80311471103955,0.802988973741495,0.802863294442462
