eV values,FWHM Values,Rmin,SPR Angle,nGr Values,Sensitivity,Abs Sensitivity,FOM
0.001,1.692,0.0704087927443576,49.5,1.14141320440218,0,0,0
1,1.044,0.0483354708370551,49.5,1.2989399491161,0,0,0
1.5,0.900000000000006,0.0473705054250787,48.888,0.770890731907652,1.6517216779855,1.6517216779855,1.83524630887276
2,0.540000000000006,0.0400874961407406,47.448,0.431058517239153,2.88869776899081,2.88869776899081,5.34944031294589
2.5,3.06,0.0701642100101611,56.988,0.3950918929571,-10.0332120832798,10.0332120832798,3.27882747819602
3,1.476,0.0552057898033279,51.372,0.687524497824283,-4.12435906174883,4.12435906174883,2.79428120714691
3.5,1.296,0.0536849931198045,50.688,0.881187637562112,-4.56527010172733,4.56527010172733,3.52258495503652
4,1.224,0.0522297323492406,50.4,1.03577241723763,-8.51943670769995,8.51943670769995,6.96032410759802
4.5,1.188,0.0523887346009092,50.256,1.16806793201759,28.3626983891165,28.3626983891165,23.8743252433641
5,1.152,0.0515428475510239,50.148,1.28557010384062,4.49510222905918,4.49510222905918,3.90199846272498
5.5,1.116,0.0513247657222424,50.076,1.3923649117254,2.29526232813442,2.29526232813442,2.05668667395558
6,1.116,0.0512628490179251,50.004,1.49095790370835,1.44187567713206,1.44187567713206,1.2920032949212
6.5,1.116,0.0508296092522438,49.968,1.58301179967983,1.05978597985747,1.05978597985747,0.949629014209203
7,1.08000000000001,0.0507121389978288,49.932,1.66969478565273,0.817745716171616,0.817745716171616,0.757171959418159
7.5,1.08000000000001,0.0506522882272393,49.896,1.75186386901024,0.648701071124641,0.648701071124641,0.60064913993022
8,1.044,0.0509989034362772,49.86,1.83016946966826,0.522681270798939,0.522681270798939,0.50065255823653
8.5,1.08,0.0511707195172497,49.86,1.90511890025529,0.471385773282551,0.471385773282551,0.436468308594956
9,1.044,0.0503711760734125,49.824,1.97711685193134,0.387697242865867,0.387697242865867,0.371357512323628
9.5,1.044,0.0510970351393751,49.788,2.04649228437763,0.318204239134347,0.318204239134347,0.304793332504165
10,1.008,0.0503559446790019,49.788,2.11351690108034,0.296264689645916,0.296264689645916,0.293913382585235
