eV values,FWHM Values,Rmin,SPR Angle,nGr Values,Sensitivity,Abs Sensitivity,FOM
0.001,1.872,0.112838528012724,49.464,1.06825177174727,0,0,0
1,1.044,0.0478889270156866,49.536,1.20754393737183,0.516899135548354,0.516899135548354,0.495114114509916
1.5,0.899999999999999,0.0480762719934016,48.924,0.854116494910446,2.52177038728416,2.52177038728416,2.80196709698241
2,0.756,0.0461653939030367,48.348,0.676171244808668,2.84635406076865,2.84635406076865,3.76501859890033
2.5,0.468000000000004,0.0436171513609498,47.268,0.478819812815869,3.7256208570387,3.7256208570387,7.96072832700572
3,16.056,0.908311481289742,20.556,0.13493430395474,30.9733836530166,30.9733836530166,1.9290846819268
3.5,5.256,0.100929764845758,62.424,0.429334135413406,-20.2843046787142,20.2843046787142,3.85926649138397
4,1.98,0.0632352663814963,53.676,0.617966836298166,-9.35407709298347,9.35407709298347,4.72428136009267
4.5,1.62,0.058306817123853,52.164,0.75911470448287,-8.73398982494305,8.73398982494305,5.39135174379199
5,1.47600000000001,0.0560118577589826,51.552,0.876618692009414,-10.8958223854477,10.8958223854477,7.38199348607563
5.5,1.368,0.054987890749996,51.192,0.979346738287862,-19.4364698236009,19.4364698236009,14.207945777486
6,1.332,0.0541234213440311,50.976,1.07174483063843,432.858433570674,432.858433570674,324.968793971977
6.5,1.26,0.0542900308085462,50.832,1.15641006559575,15.5175416887173,15.5175416887173,12.3155092767598
7,1.26000000000001,0.0533934533493271,50.688,1.23501165409846,7.33989484006884,7.33989484006884,5.82531336513398
7.5,1.26,0.0534272587566659,50.616,1.30869579268125,4.79113598052955,4.79113598052955,3.80248887343616
8,1.188,0.0535926842329488,50.544,1.37828886392619,3.48345416482213,3.48345416482213,2.9322004754395
8.5,1.188,0.0527427696960052,50.472,1.44440945831103,2.67972724207284,2.67972724207284,2.25566266167748
9,1.152,0.0524435498894964,50.4,1.50753464235526,2.13074550051208,2.13074550051208,1.84960546919451
9.5,1.188,0.0521709152330488,50.364,1.56804138350702,1.80075771649417,1.80075771649417,1.51578932364829
10,1.152,0.0523207579050451,50.328,1.62623362234069,1.5484374609696,1.5484374609696,1.344129740425
